response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0379,0.0001,0.0000,0.0000,0.0376,0.0001,200,1.8328
0.0368,0.0002,0.0000,0.0001,0.0363,0.0001,200,1.8431
0.0353,0.0001,0.0000,0.0000,0.0350,0.0000,200,1.8453
0.0379,0.0001,0.0000,0.0000,0.0376,0.0001,200,1.8466
0.0378,0.0002,0.0000,0.0000,0.0374,0.0001,200,1.8505
0.0417,0.0001,0.0000,0.0000,0.0414,0.0001,200,1.8511
0.0480,0.0001,0.0000,0.0001,0.0477,0.0001,200,1.8530
0.0465,0.0002,0.0000,0.0001,0.0461,0.0001,200,1.8617
0.0436,0.0002,0.0000,0.0001,0.0432,0.0001,200,1.8708
0.0378,0.0002,0.0000,0.0000,0.0374,0.0001,200,1.8799
0.0374,0.0001,0.0000,0.0000,0.0372,0.0001,200,1.8806
0.0369,0.0002,0.0000,0.0001,0.0366,0.0001,200,1.8845
0.0376,0.0001,0.0000,0.0001,0.0373,0.0001,200,1.8883
0.0487,0.0002,0.0000,0.0001,0.0483,0.0001,200,1.8927
0.0352,0.0002,0.0000,0.0001,0.0347,0.0001,200,1.9144
0.0518,0.0002,0.0000,0.0001,0.0514,0.0001,200,1.9010
0.0479,0.0002,0.0000,0.0001,0.0475,0.0001,200,1.9082
0.0387,0.0001,0.0000,0.0000,0.0385,0.0001,200,1.9180
